country,country_code,year,life_expectancy,mortality_u5,fertility_adolescent
Australia,AUS,1990,76.9946341463415,9.2,22.426
Australia,AUS,1991,77.2756097560976,8.7,22.274
Australia,AUS,1992,77.3780487804878,8.2,22.306
Australia,AUS,1993,77.8780487804878,7.7,21.245
Australia,AUS,1994,77.8780487804878,7.3,20.965
Australia,AUS,1995,77.8292682926829,7.0,20.453
Australia,AUS,1996,78.0780487804878,6.8,20.163
Australia,AUS,1997,78.4804878048781,6.6,19.62
Australia,AUS,1998,78.6317073170732,6.4,18.847
Australia,AUS,1999,78.9317073170732,6.3,18.393
Australia,AUS,2000,79.2341463414634,6.2,17.795
Australia,AUS,2001,79.6341463414634,6.1,17.62
Australia,AUS,2002,79.9365853658537,6.0,17.238
Australia,AUS,2003,80.2390243902439,5.9,16.34
Australia,AUS,2004,80.490243902439,5.8,16.144
Australia,AUS,2005,80.8414634146341,5.7,16.491
Australia,AUS,2006,81.0414634146342,5.6,16.11
Australia,AUS,2007,81.2926829268293,5.4,17.127
Australia,AUS,2008,81.3951219512195,5.2,18.189
Australia,AUS,2009,81.5439024390244,5.0,17.814
Australia,AUS,2010,81.6951219512195,4.8,17.069
Australia,AUS,2011,81.8951219512195,4.5,16.307
Australia,AUS,2012,82.0463414634146,4.3,16.038
Australia,AUS,2013,82.1487804878049,4.1,14.697
Australia,AUS,2014,82.3,4.0,13.072
Australia,AUS,2015,82.4,3.9,12.038
Australia,AUS,2016,82.4487804878049,3.8,10.939
Australia,AUS,2017,82.5,3.8,10.235
Australia,AUS,2018,82.7487804878049,3.8,9.741
Australia,AUS,2019,82.9,3.8,8.763
Australia,AUS,2020,83.2,3.8,7.726
Australia,AUS,2021,83.3,3.7,7.089
Australia,AUS,2022,83.2,3.7,6.747
Australia,AUS,2023,83.0512195121951,3.7,6.715
Australia,AUS,2024,83.0512195121951,3.6,6.419
Bangladesh,BGD,1990,55.822,146.5,178.305
Bangladesh,BGD,1991,53.781,140.3,170.848
Bangladesh,BGD,1992,56.592,134.1,170.559
Bangladesh,BGD,1993,57.073,127.8,167.118
Bangladesh,BGD,1994,57.64,121.6,163.261
Bangladesh,BGD,1995,58.244,115.5,160.034
Bangladesh,BGD,1996,58.94,109.4,154.635
Bangladesh,BGD,1997,59.671,103.3,154.369
Bangladesh,BGD,1998,60.429,97.1,154.148
Bangladesh,BGD,1999,61.244,91.2,151.983
Bangladesh,BGD,2000,62.049,85.5,152.641
Bangladesh,BGD,2001,62.836,80.2,147.804
Bangladesh,BGD,2002,63.591,75.3,142.0
Bangladesh,BGD,2003,64.288,70.8,139.872
Bangladesh,BGD,2004,64.912,66.8,138.184
Bangladesh,BGD,2005,65.509,63.0,126.555
Bangladesh,BGD,2006,66.048,59.6,124.43
Bangladesh,BGD,2007,66.458,56.5,126.819
Bangladesh,BGD,2008,67.047,53.6,119.728
Bangladesh,BGD,2009,67.527,51.1,115.797
Bangladesh,BGD,2010,68.009,48.7,115.018
Bangladesh,BGD,2011,68.499,46.5,105.382
Bangladesh,BGD,2012,68.989,44.4,104.552
Bangladesh,BGD,2013,69.487,42.4,102.256
Bangladesh,BGD,2014,70.016,40.5,91.829
Bangladesh,BGD,2015,70.543,38.5,89.274
Bangladesh,BGD,2016,71.075,36.7,87.837
Bangladesh,BGD,2017,71.606,35.0,82.215
Bangladesh,BGD,2018,72.122,33.5,80.415
Bangladesh,BGD,2019,72.625,32.3,79.151
Bangladesh,BGD,2020,71.421,31.4,79.184
Bangladesh,BGD,2021,71.103,30.9,75.962
Bangladesh,BGD,2022,74.265,30.7,73.128
Bangladesh,BGD,2023,74.672,30.6,73.179
Bangladesh,BGD,2024,74.93,30.5,70.813
Brunei Darussalam,BRN,1990,71.629,13.3,37.789
Brunei Darussalam,BRN,1991,71.858,13.2,37.448
Brunei Darussalam,BRN,1992,72.09,13.1,37.007
Brunei Darussalam,BRN,1993,72.333,12.9,34.978
Brunei Darussalam,BRN,1994,72.571,12.7,33.025
Brunei Darussalam,BRN,1995,72.838,12.3,31.188
Brunei Darussalam,BRN,1996,73.079,11.9,29.472
Brunei Darussalam,BRN,1997,73.326,11.4,29.067
Brunei Darussalam,BRN,1998,73.584,11.0,30.184
Brunei Darussalam,BRN,1999,73.806,10.6,30.372
Brunei Darussalam,BRN,2000,74.017,10.3,30.526
Brunei Darussalam,BRN,2001,74.209,10.0,28.159
Brunei Darussalam,BRN,2002,74.365,9.8,25.011
Brunei Darussalam,BRN,2003,74.509,9.7,22.586
Brunei Darussalam,BRN,2004,74.603,9.6,20.324
Brunei Darussalam,BRN,2005,74.683,9.5,18.238
Brunei Darussalam,BRN,2006,74.753,9.5,16.471
Brunei Darussalam,BRN,2007,74.793,9.6,16.392
Brunei Darussalam,BRN,2008,74.814,9.6,15.882
Brunei Darussalam,BRN,2009,74.814,9.7,15.572
Brunei Darussalam,BRN,2010,74.82,9.9,15.228
Brunei Darussalam,BRN,2011,74.835,10.0,14.902
Brunei Darussalam,BRN,2012,74.843,10.2,14.838
Brunei Darussalam,BRN,2013,74.854,10.4,13.775
Brunei Darussalam,BRN,2014,74.862,10.6,12.55
Brunei Darussalam,BRN,2015,74.88,10.7,11.886
Brunei Darussalam,BRN,2016,74.905,10.7,11.062
Brunei Darussalam,BRN,2017,74.943,10.7,10.491
Brunei Darussalam,BRN,2018,74.992,10.6,10.29
Brunei Darussalam,BRN,2019,75.049,10.5,10.042
Brunei Darussalam,BRN,2020,75.114,10.4,8.847
Brunei Darussalam,BRN,2021,74.869,10.3,8.581
Brunei Darussalam,BRN,2022,72.917,10.2,8.589
Brunei Darussalam,BRN,2023,75.327,10.1,8.518
Brunei Darussalam,BRN,2024,75.501,9.9,8.051
Bhutan,BTN,1990,55.811,128.0,95.604
Bhutan,BTN,1991,56.451,122.4,92.975
Bhutan,BTN,1992,57.208,117.2,89.806
Bhutan,BTN,1993,57.906,112.1,86.452
Bhutan,BTN,1994,58.395,107.0,82.988
Bhutan,BTN,1995,59.277,102.0,78.959
Bhutan,BTN,1996,59.982,96.9,74.693
Bhutan,BTN,1997,60.639,92.0,70.003
Bhutan,BTN,1998,61.322,87.1,66.076
Bhutan,BTN,1999,62.032,82.2,61.956
Bhutan,BTN,2000,61.842,77.7,58.015
Bhutan,BTN,2001,63.323,73.2,53.936
Bhutan,BTN,2002,63.984,68.8,49.647
Bhutan,BTN,2003,64.662,64.6,46.144
Bhutan,BTN,2004,65.29,60.6,43.964
Bhutan,BTN,2005,65.875,56.7,42.66
Bhutan,BTN,2006,66.499,52.9,41.597
Bhutan,BTN,2007,67.152,49.5,40.63
Bhutan,BTN,2008,67.733,46.2,38.59
Bhutan,BTN,2009,68.156,43.3,36.3
Bhutan,BTN,2010,68.765,40.5,31.864
Bhutan,BTN,2011,69.28,37.9,27.948
Bhutan,BTN,2012,69.759,35.5,24.734
Bhutan,BTN,2013,70.161,33.2,22.16
Bhutan,BTN,2014,70.504,31.2,19.307
Bhutan,BTN,2015,70.797,29.2,16.456
Bhutan,BTN,2016,71.119,27.4,14.108
Bhutan,BTN,2017,71.413,25.8,11.332
Bhutan,BTN,2018,71.711,24.2,9.369
Bhutan,BTN,2019,72.005,22.7,8.139
Bhutan,BTN,2020,72.253,21.3,8.74
Bhutan,BTN,2021,72.448,20.0,9.645
Bhutan,BTN,2022,72.754,19.0,9.388
Bhutan,BTN,2023,72.975,18.0,9.364
Bhutan,BTN,2024,73.262,17.2,8.712
China,CHN,1990,68.155,53.6,23.214
China,CHN,1991,68.61,53.0,18.812
China,CHN,1992,69.059,52.1,16.081
China,CHN,1993,69.492,50.8,13.469
China,CHN,1994,69.835,49.2,8.754
China,CHN,1995,70.363,47.4,8.652
China,CHN,1996,70.823,45.5,7.318
China,CHN,1997,71.227,43.5,6.427
China,CHN,1998,71.601,41.4,4.673
China,CHN,1999,71.952,39.1,6.163
China,CHN,2000,72.288,36.6,6.444
China,CHN,2001,72.675,34.1,6.104
China,CHN,2002,73.034,31.4,6.122
China,CHN,2003,73.385,28.8,6.459
China,CHN,2004,73.727,26.3,5.638
China,CHN,2005,74.085,24.0,6.645
China,CHN,2006,74.404,21.9,8.5
China,CHN,2007,74.789,20.1,9.141
China,CHN,2008,74.833,18.5,11.026
China,CHN,2009,75.317,17.1,11.994
China,CHN,2010,75.668,15.7,12.158
China,CHN,2011,75.889,14.6,11.801
China,CHN,2012,76.2,13.5,12.534
China,CHN,2013,76.452,12.5,11.976
China,CHN,2014,76.714,11.6,12.049
China,CHN,2015,76.975,10.7,10.887
China,CHN,2016,77.214,10.0,10.747
China,CHN,2017,77.235,9.3,10.236
China,CHN,2018,77.709,8.6,8.691
China,CHN,2019,77.94,8.0,8.277
China,CHN,2020,78.019,7.5,6.737
China,CHN,2021,78.117,7.0,5.996
China,CHN,2022,78.202,6.6,5.463
China,CHN,2023,77.953,6.1,5.227
China,CHN,2024,78.017,5.7,5.202
Fiji,FJI,1990,65.056,28.8,68.24
Fiji,FJI,1991,65.457,27.8,64.345
Fiji,FJI,1992,65.407,26.7,60.933
Fiji,FJI,1993,65.51,25.9,58.168
Fiji,FJI,1994,65.796,25.1,55.907
Fiji,FJI,1995,66.007,24.4,54.582
Fiji,FJI,1996,66.202,23.8,51.971
Fiji,FJI,1997,66.293,23.4,47.93
Fiji,FJI,1998,66.536,23.0,45.739
Fiji,FJI,1999,66.728,22.8,45.408
Fiji,FJI,2000,66.194,22.6,43.472
Fiji,FJI,2001,66.205,22.6,42.325
Fiji,FJI,2002,65.492,22.7,40.957
Fiji,FJI,2003,65.653,22.8,38.589
Fiji,FJI,2004,65.841,23.1,35.42
Fiji,FJI,2005,65.983,23.3,34.654
Fiji,FJI,2006,66.126,23.5,34.056
Fiji,FJI,2007,66.161,23.5,33.013
Fiji,FJI,2008,66.32,23.2,31.296
Fiji,FJI,2009,66.347,22.8,32.218
Fiji,FJI,2010,66.778,22.2,33.021
Fiji,FJI,2011,66.88,21.6,33.308
Fiji,FJI,2012,65.812,21.0,34.056
Fiji,FJI,2013,66.545,20.7,35.093
Fiji,FJI,2014,66.581,20.6,28.784
Fiji,FJI,2015,66.48,20.9,23.729
Fiji,FJI,2016,66.657,21.6,21.943
Fiji,FJI,2017,67.06,22.7,21.218
Fiji,FJI,2018,66.965,24.2,21.827
Fiji,FJI,2019,67.009,25.7,22.047
Fiji,FJI,2020,66.924,27.2,21.695
Fiji,FJI,2021,64.904,28.3,21.553
Fiji,FJI,2022,67.148,28.9,21.271
Fiji,FJI,2023,67.316,29.2,21.169
Fiji,FJI,2024,67.463,29.1,20.905
"Micronesia, Fed. Sts.",FSM,1990,63.722,49.2,65.93
"Micronesia, Fed. Sts.",FSM,1991,63.881,48.1,63.993
"Micronesia, Fed. Sts.",FSM,1992,63.996,47.0,62.016
"Micronesia, Fed. Sts.",FSM,1993,64.041,46.1,61.742
"Micronesia, Fed. Sts.",FSM,1994,64.082,45.2,61.47
"Micronesia, Fed. Sts.",FSM,1995,64.142,44.3,62.34
"Micronesia, Fed. Sts.",FSM,1996,64.253,43.3,63.648
"Micronesia, Fed. Sts.",FSM,1997,64.371,42.1,64.791
"Micronesia, Fed. Sts.",FSM,1998,64.509,40.9,66.639
"Micronesia, Fed. Sts.",FSM,1999,64.626,39.8,66.669
"Micronesia, Fed. Sts.",FSM,2000,64.317,38.6,70.397
"Micronesia, Fed. Sts.",FSM,2001,64.801,37.7,69.424
"Micronesia, Fed. Sts.",FSM,2002,63.907,41.5,64.672
"Micronesia, Fed. Sts.",FSM,2003,64.915,36.4,64.317
"Micronesia, Fed. Sts.",FSM,2004,64.898,36.1,60.833
"Micronesia, Fed. Sts.",FSM,2005,64.906,35.9,58.272
"Micronesia, Fed. Sts.",FSM,2006,64.859,35.9,55.7
"Micronesia, Fed. Sts.",FSM,2007,64.844,35.6,53.42
"Micronesia, Fed. Sts.",FSM,2008,64.849,35.3,51.764
"Micronesia, Fed. Sts.",FSM,2009,64.865,34.8,50.541
"Micronesia, Fed. Sts.",FSM,2010,64.892,34.1,50.37
"Micronesia, Fed. Sts.",FSM,2011,64.969,33.4,50.292
"Micronesia, Fed. Sts.",FSM,2012,65.08,32.6,49.733
"Micronesia, Fed. Sts.",FSM,2013,65.179,31.6,48.608
"Micronesia, Fed. Sts.",FSM,2014,65.294,30.7,47.844
"Micronesia, Fed. Sts.",FSM,2015,65.306,29.8,47.592
"Micronesia, Fed. Sts.",FSM,2016,65.576,28.9,47.72
